no,code,name,district
,,THÀNH PHỐ HÀ NỘI,
1,70,Phường Hoàn Kiếm,Thành phố Hà Nội
2,73,Phường Cửa Nam,Thành phố Hà Nội
3,4,Phường Ba Đình,Thành phố Hà Nội
4,8,Phường Ngọc Hà,Thành phố Hà Nội
5,25,Phường Giảng Võ,Thành phố Hà Nội
6,256,Phường Hai Bà Trưng,Thành phố Hà Nội
7,283,Phường Vĩnh Tuy,Thành phố Hà Nội
8,277,Phường Bạch Mai,Thành phố Hà Nội
9,235,Phường Đống Đa,Thành phố Hà Nội
10,226,Phường Kim Liên,Thành phố Hà Nội
11,196,Phường Văn Miếu - Quốc Tử Giám,Thành phố Hà Nội
12,187,Phường Láng,Thành phố Hà Nội
13,190,Phường Ô Chợ Dừa,Thành phố Hà Nội
14,97,Phường Hồng Hà,Thành phố Hà Nội
15,328,Phường Lĩnh Nam,Thành phố Hà Nội
16,319,Phường Hoàng Mai,Thành phố Hà Nội
17,304,Phường Vĩnh Hưng,Thành phố Hà Nội
18,313,Phường Tương Mai,Thành phố Hà Nội
19,316,Phường Định Công,Thành phố Hà Nội
20,337,Phường Hoàng Liệt,Thành phố Hà Nội
21,331,Phường Yên Sở,Thành phố Hà Nội
22,367,Phường Thanh Xuân,Thành phố Hà Nội
23,364,Phường Khương Đình,Thành phố Hà Nội
24,352,Phường Phương Liệt,Thành phố Hà Nội
25,167,Phường Cầu Giấy,Thành phố Hà Nội
26,160,Phường Nghĩa Đô,Thành phố Hà Nội
27,175,Phường Yên Hòa,Thành phố Hà Nội
28,103,Phường Tây Hồ,Thành phố Hà Nội
29,91,Phường Phú Thượng,Thành phố Hà Nội
30,613,Phường Tây Tựu,Thành phố Hà Nội
31,619,Phường Phú Diễn,Thành phố Hà Nội
32,611,Phường Xuân Đỉnh,Thành phố Hà Nội
33,602,Phường Đông Ngạc,Thành phố Hà Nội
34,598,Phường Thượng Cát,Thành phố Hà Nội
35,592,Phường Từ Liêm,Thành phố Hà Nội
36,622,Phường Xuân Phương,Thành phố Hà Nội
37,634,Phường Tây Mỗ,Thành phố Hà Nội
38,637,Phường Đại Mỗ,Thành phố Hà Nội
39,148,Phường Long Biên,Thành phố Hà Nội
40,130,Phường Bồ Đề,Thành phố Hà Nội
41,127,Phường Việt Hưng,Thành phố Hà Nội
42,136,Phường Phúc Lợi,Thành phố Hà Nội
43,9556,Phường Hà Đông,Thành phố Hà Nội
44,9886,Phường Dương Nội,Thành phố Hà Nội
45,9562,Phường Yên Nghĩa,Thành phố Hà Nội
46,9568,Phường Phú Lương,Thành phố Hà Nội
47,9552,Phường Kiến Hưng,Thành phố Hà Nội
48,640,Xã Thanh Trì,Thành phố Hà Nội
49,664,Xã Đại Thanh,Thành phố Hà Nội
50,685,Xã Nam Phù,Thành phố Hà Nội
51,679,Xã Ngọc Hồi,Thành phố Hà Nội
52,646,Phường Thanh Liệt,Thành phố Hà Nội
53,10231,Xã Thượng Phúc,Thành phố Hà Nội
54,10183,Xã Thường Tín,Thành phố Hà Nội
55,10237,Xã Chương Dương,Thành phố Hà Nội
56,10210,Xã Hồng Vân,Thành phố Hà Nội
57,10273,Xã Phú Xuyên,Thành phố Hà Nội
58,10279,Xã Phượng Dực,Thành phố Hà Nội
59,10330,Xã Chuyên Mỹ,Thành phố Hà Nội
60,10333,Xã Đại Xuyên,Thành phố Hà Nội
61,10114,Xã Thanh Oai,Thành phố Hà Nội
62,10141,Xã Bình Minh,Thành phố Hà Nội
63,10144,Xã Tam Hưng,Thành phố Hà Nội
64,10180,Xã Dân Hòa,Thành phố Hà Nội
65,10354,Xã Vân Đình,Thành phố Hà Nội
66,10369,Xã Ứng Thiên,Thành phố Hà Nội
67,10417,Xã Hòa Xá,Thành phố Hà Nội
68,10402,Xã Ứng Hòa,Thành phố Hà Nội
69,10441,Xã Mỹ Đức,Thành phố Hà Nội
70,10465,Xã Hồng Sơn,Thành phố Hà Nội
71,10459,Xã Phúc Sơn,Thành phố Hà Nội
72,10489,Xã Hương Sơn,Thành phố Hà Nội
73,10015,Phường Chương Mỹ,Thành phố Hà Nội
74,10030,Xã Phú Nghĩa,Thành phố Hà Nội
75,10018,Xã Xuân Mai,Thành phố Hà Nội
76,10081,Xã Trần Phú,Thành phố Hà Nội
77,10108,Xã Hòa Phú,Thành phố Hà Nội
78,10084,Xã Quảng Bị,Thành phố Hà Nội
79,9661,Xã Minh Châu,Thành phố Hà Nội
80,9619,Xã Quảng Oai,Thành phố Hà Nội
81,9664,Xã Vật Lại,Thành phố Hà Nội
82,9634,Xã Cổ Đô,Thành phố Hà Nội
83,9676,Xã Bất Bạt,Thành phố Hà Nội
84,9694,Xã Suối Hai,Thành phố Hà Nội
85,9700,Xã Ba Vì,Thành phố Hà Nội
86,9706,Xã Yên Bài,Thành phố Hà Nội
87,9574,Phường Sơn Tây,Thành phố Hà Nội
88,9604,Phường Tùng Thiện,Thành phố Hà Nội
89,9616,Xã Đoài Phương,Thành phố Hà Nội
90,9715,Xã Phúc Thọ,Thành phố Hà Nội
91,9739,Xã Phúc Lộc,Thành phố Hà Nội
92,9772,Xã Hát Môn,Thành phố Hà Nội
93,9955,Xã Thạch Thất,Thành phố Hà Nội
94,10009,Xã Hạ Bằng,Thành phố Hà Nội
95,10006,Xã Tây Phương,Thành phố Hà Nội
96,9988,Xã Hòa Lạc,Thành phố Hà Nội
97,4936,Xã Yên Xuân,Thành phố Hà Nội
98,9895,Xã Quốc Oai,Thành phố Hà Nội
99,9931,Xã Hưng Đạo,Thành phố Hà Nội
100,9928,Xã Kiều Phú,Thành phố Hà Nội
101,9922,Xã Phú Cát,Thành phố Hà Nội
102,9832,Xã Hoài Đức,Thành phố Hà Nội
103,9838,Xã Dương Hòa,Thành phố Hà Nội
104,9859,Xã Sơn Đồng,Thành phố Hà Nội
105,9877,Xã An Khánh,Thành phố Hà Nội
106,9784,Xã Đan Phượng,Thành phố Hà Nội
107,9817,Xã Ô Diên,Thành phố Hà Nội
108,9793,Xã Liên Minh,Thành phố Hà Nội
109,565,Xã Gia Lâm,Thành phố Hà Nội
110,562,Xã Thuận An,Thành phố Hà Nội
111,583,Xã Bát Tràng,Thành phố Hà Nội
112,541,Xã Phù Đổng,Thành phố Hà Nội
113,484,Xã Thư Lâm,Thành phố Hà Nội
114,454,Xã Đông Anh,Thành phố Hà Nội
115,466,Xã Phúc Thịnh,Thành phố Hà Nội
116,493,Xã Thiên Lộc,Thành phố Hà Nội
117,508,Xã Vĩnh Thanh,Thành phố Hà Nội
118,9022,Xã Mê Linh,Thành phố Hà Nội
119,8980,Xã Yên Lãng,Thành phố Hà Nội
120,8995,Xã Tiến Thắng,Thành phố Hà Nội
121,8974,Xã Quang Minh,Thành phố Hà Nội
122,376,Xã Sóc Sơn,Thành phố Hà Nội
123,424,Xã Đa Phúc,Thành phố Hà Nội
124,433,Xã Nội Bài,Thành phố Hà Nội
125,385,Xã Trung Giã,Thành phố Hà Nội
126,382,Xã Kim Anh,Thành phố Hà Nội
,,TỈNH CAO BẰNG,Tỉnh Cao Bằng
127,1273,Phường Thục Phán,Tỉnh Cao Bằng
128,1279,Phường Nùng Trí Cao,Tỉnh Cao Bằng
129,1288,Phường Tân Giang,Tỉnh Cao Bằng
130,1304,Xã Quảng Lâm,Tỉnh Cao Bằng
131,1297,Xã Nam Quang,Tỉnh Cao Bằng
132,1294,Xã Lý Bôn,Tỉnh Cao Bằng
133,1290,Xã Bảo Lâm,Tỉnh Cao Bằng
134,1318,Xã Yên Thổ,Tỉnh Cao Bằng
135,1360,Xã Sơn Lộ,Tỉnh Cao Bằng
136,1351,Xã Hưng Đạo,Tỉnh Cao Bằng
137,1321,Xã Bảo Lạc,Tỉnh Cao Bằng
138,1324,Xã Cốc Pàng,Tỉnh Cao Bằng
139,1327,Xã Cô Ba,Tỉnh Cao Bằng
140,1336,Xã Khánh Xuân,Tỉnh Cao Bằng
141,1339,Xã Xuân Trường,Tỉnh Cao Bằng
142,1354,Xã Huy Giáp,Tỉnh Cao Bằng
143,1738,Xã Ca Thành,Tỉnh Cao Bằng
144,1768,Xã Phan Thanh,Tỉnh Cao Bằng
145,1777,Xã Thành Công,Tỉnh Cao Bằng
146,1729,Xã Tĩnh Túc,Tỉnh Cao Bằng
147,1774,Xã Tam Kim,Tỉnh Cao Bằng
148,1726,Xã Nguyên Bình,Tỉnh Cao Bằng
149,1747,Xã Minh Tâm,Tỉnh Cao Bằng
150,1387,Xã Thanh Long,Tỉnh Cao Bằng
151,1366,Xã Cần Yên,Tỉnh Cao Bằng
152,1363,Xã Thông Nông,Tỉnh Cao Bằng
153,1392,Xã Trường Hà,Tỉnh Cao Bằng
154,1438,Xã Hà Quảng,Tỉnh Cao Bằng
155,1393,Xã Lũng Nặm,Tỉnh Cao Bằng
156,1414,Xã Tổng Cọt,Tỉnh Cao Bằng
157,1660,Xã Nam Tuấn,Tỉnh Cao Bằng
158,1654,Xã Hòa An,Tỉnh Cao Bằng
159,1708,Xã Bạch Đằng,Tỉnh Cao Bằng
160,1699,Xã Nguyễn Huệ,Tỉnh Cao Bằng
161,1795,Xã Minh Khai,Tỉnh Cao Bằng
162,1789,Xã Canh Tân,Tỉnh Cao Bằng
163,1792,Xã Kim Đồng,Tỉnh Cao Bằng
164,1807,Xã Thạch An,Tỉnh Cao Bằng
